region,group,rate,qualityAdjustedRate
RURAL,A,22.05,21.63
RURAL,B,59.27,58.12
RURAL,C,86.84,85.15
RURAL,D,47.55,46.63
RURAL,E,76.16,74.68
RURAL,F,97.18,95.29
RURAL,G,66.51,65.21
RURAL,H,93.04,91.23
RURAL,I,115.10,112.86
RURAL,J,97.52,95.63
RURAL,K,120.61,118.27
RURAL,L,137.15,134.48
URBAN,A,17.50,17.16
URBAN,B,47.04,46.13
URBAN,C,68.92,67.59
URBAN,D,37.74,37.01
URBAN,E,60.44,59.27
URBAN,F,77.13,75.63
URBAN,G,52.79,51.76
URBAN,H,73.85,72.41
URBAN,I,91.35,89.58
URBAN,J,77.40,75.90
URBAN,K,95.73,93.87
URBAN,L,108.85,106.74
