region,group,physicalTherapyRate,qualityAdjustedPhysicalTherapyRate,occupationalTherapyRate,qualityAdjustedoccupationalTherapyRateRate
RURAL,A,105.95,103.87,94.76,92.92
RURAL,B,117.73,115.41,103.67,101.65
RURAL,C,130.19,127.63,107.48,105.39
RURAL,D,132.96,130.35,97.31,95.41
RURAL,E,98.34,96.40,89.68,87.93
RURAL,F,111.49,109.30,101.76,99.78
RURAL,G,115.65,113.38,104.30,102.27
RURAL,H,80.33,78.75,73.14,71.71
RURAL,I,78.25,76.72,75.05,73.58
RURAL,J,98.34,96.40,92.22,90.42
RURAL,K,105.26,103.19,97.94,96.03
RURAL,L,75.48,74.00,70.60,69.22
RURAL,M,87.95,86.22,82.68,81.07
RURAL,N,102.49,100.48,95.40,93.54
RURAL,O,107.34,105.23,98.58,96.66
RURAL,P,74.79,73.32,69.32,67.97
URBAN,A,92.95,91.13,84.26,82.62
URBAN,B,103.28,101.25,92.18,90.38
URBAN,C,114.21,111.97,95.57,93.71
URBAN,D,116.64,114.36,86.52,84.84
URBAN,E,86.27,84.58,79.74,78.18
URBAN,F,97.81,95.89,90.48,88.72
URBAN,G,101.45,99.47,92.74,90.94
URBAN,H,70.47,69.09,65.03,63.77
URBAN,I,68.65,67.30,66.73,65.43
URBAN,J,86.27,84.58,82.00,80.40
URBAN,K,92.34,90.53,87.09,85.39
URBAN,L,66.22,64.92,62.77,61.55
URBAN,M,77.15,75.64,73.52,72.09
URBAN,N,89.91,88.15,84.83,83.18
URBAN,O,94.16,92.32,87.65,85.95
URBAN,P,65.61,64.32,61.64,60.44
