region,group,rate,qualityAdjustedRate
RURAL,A,22.80,22.36
RURAL,B,61.28,60.10
RURAL,C,89.79,88.05
RURAL,D,49.17,48.22
RURAL,E,78.74,77.22
RURAL,F,100.48,98.53
RURAL,G,68.77,67.43
RURAL,H,96.20,94.34
RURAL,I,119.00,116.70
RURAL,J,100.83,98.88
RURAL,K,124.71,122.29
RURAL,L,141.81,139.06
URBAN,A,18.10,17.75
URBAN,B,48.64,47.70
URBAN,C,71.27,69.88
URBAN,D,39.03,38.27
URBAN,E,62.50,61.28
URBAN,F,79.75,78.20
URBAN,G,54.58,53.52
URBAN,H,76.36,74.87
URBAN,I,94.46,92.62
URBAN,J,80.03,78.48
URBAN,K,98.98,97.06
URBAN,L,112.55,110.37
