region,group,physicalTherapyRate,qualityAdjustedPhysicalTherapyRate,occupationalTherapyRate,qualityAdjustedoccupationalTherapyRateRate
RURAL,A,108.20,106.07,96.78,94.88
RURAL,B,120.22,117.86,105.87,103.80
RURAL,C,132.95,130.34,109.77,107.62
RURAL,D,135.78,133.11,99.37,97.43
RURAL,E,100.42,98.45,91.58,89.79
RURAL,F,113.86,111.62,103.92,101.89
RURAL,G,118.10,115.78,106.52,104.44
RURAL,H,82.04,80.42,74.69,73.23
RURAL,I,79.91,78.34,76.64,75.14
RURAL,J,100.42,98.45,94.18,92.34
RURAL,K,107.49,105.38,100.02,98.07
RURAL,L,77.08,75.57,72.09,70.68
RURAL,M,89.81,88.05,84.44,82.78
RURAL,N,104.67,102.61,97.43,95.52
RURAL,O,109.62,107.46,100.67,98.70
RURAL,P,76.38,74.88,70.80,69.41
URBAN,A,94.92,93.05,86.05,84.36
URBAN,B,105.47,103.39,94.13,92.29
URBAN,C,116.64,114.34,97.60,95.69
URBAN,D,119.12,116.77,88.36,86.63
URBAN,E,88.10,86.36,81.43,79.83
URBAN,F,99.88,97.92,92.40,90.59
URBAN,G,103.61,101.57,94.71,92.86
URBAN,H,71.97,70.55,66.41,65.11
URBAN,I,70.11,68.73,68.15,66.81
URBAN,J,88.10,86.36,83.74,82.10
URBAN,K,94.30,92.45,88.94,87.19
URBAN,L,67.62,66.29,64.10,62.85
URBAN,M,78.79,77.24,75.08,73.61
URBAN,N,91.82,90.01,86.63,84.93
URBAN,O,96.16,94.27,89.51,87.76
URBAN,P,67.00,65.69,62.95,61.72
