region,group,physicalTherapyRate,qualityAdjustedPhysicalTherapyRate,occupationalTherapyRate,qualityAdjustedoccupationalTherapyRateRate
RURAL,A,125.18,122.74,111.80,109.63
RURAL,B,138.99,136.29,122.11,119.74
RURAL,C,153.67,150.68,126.86,124.40
RURAL,D,156.26,153.22,114.97,112.74
RURAL,E,115.68,113.43,105.46,103.41
RURAL,F,131.22,128.67,119.73,117.40
RURAL,G,136.40,133.75,122.90,120.51
RURAL,H,94.96,93.12,86.43,84.75
RURAL,I,92.37,90.58,88.80,87.08
RURAL,J,115.68,113.43,108.63,106.52
RURAL,K,124.32,121.90,115.76,113.52
RURAL,L,88.92,87.19,83.25,81.64
RURAL,M,103.60,101.58,97.53,95.63
RURAL,N,120.86,118.51,112.59,110.41
RURAL,O,126.91,124.44,116.56,114.29
RURAL,P,88.06,86.34,81.67,80.08
URBAN,A,109.81,107.68,99.39,97.46
URBAN,B,121.93,119.56,108.55,106.44
URBAN,C,134.80,132.18,112.78,110.59
URBAN,D,137.07,134.41,102.21,100.22
URBAN,E,101.48,99.51,93.75,91.93
URBAN,F,115.11,112.88,106.44,104.37
URBAN,G,119.65,117.33,109.26,107.14
URBAN,H,83.30,81.69,76.83,75.34
URBAN,I,81.03,79.46,78.95,77.41
URBAN,J,101.48,99.51,96.57,94.69
URBAN,K,109.05,106.93,102.92,100.92
URBAN,L,78.00,76.49,74.01,72.58
URBAN,M,90.88,89.11,86.70,85.02
URBAN,N,106.02,103.96,100.10,98.15
URBAN,O,111.32,109.16,103.62,101.61
URBAN,P,77.24,75.75,72.60,71.19
