region,group,rate,qualityAdjustedRate
RURAL,A,20.09,19.69
RURAL,B,53.78,52.71
RURAL,C,78.90,77.32
RURAL,D,43.14,42.28
RURAL,E,69.15,67.77
RURAL,F,88.06,86.30
RURAL,G,60.28,59.08
RURAL,H,84.51,82.83
RURAL,I,104.31,102.23
RURAL,J,88.35,86.59
RURAL,K,109.34,107.15
RURAL,L,124.41,121.92
URBAN,A,15.95,15.63
URBAN,B,42.68,41.84
URBAN,C,62.61,61.38
URBAN,D,34.24,33.57
URBAN,E,54.87,53.80
URBAN,F,69.88,68.51
URBAN,G,47.84,46.90
URBAN,H,67.07,65.75
URBAN,I,82.78,81.15
URBAN,J,70.12,68.74
URBAN,K,86.77,85.06
URBAN,L,98.72,96.79
