region,group,physicalTherapyRate,qualityAdjustedPhysicalTherapyRate,occupationalTherapyRate,qualityAdjustedoccupationalTherapyRateRate
RURAL,A,112.20,110.07,100.28,98.37
RURAL,B,124.25,121.89,109.96,107.87
RURAL,C,137.80,135.18,113.42,111.26
RURAL,D,140.81,138.14,103.05,101.08
RURAL,E,103.91,101.94,94.75,92.94
RURAL,F,118.22,115.98,107.89,105.83
RURAL,G,121.99,119.67,110.66,108.54
RURAL,H,85.09,83.47,77.46,75.98
RURAL,I,82.83,81.26,79.53,78.02
RURAL,J,103.91,101.94,97.52,95.65
RURAL,K,111.44,109.33,103.74,101.76
RURAL,L,79.82,78.30,74.69,73.27
RURAL,M,93.37,91.60,87.14,85.48
RURAL,N,108.43,106.37,100.97,99.05
RURAL,O,113.70,111.54,104.43,102.44
RURAL,P,79.07,77.56,73.31,71.91
URBAN,A,98.43,96.55,89.16,87.46
URBAN,B,109.00,106.92,97.77,95.91
URBAN,C,120.89,118.58,100.84,98.92
URBAN,D,123.53,121.18,91.62,89.88
URBAN,E,91.16,89.42,84.24,82.64
URBAN,F,103.71,101.74,95.92,94.10
URBAN,G,107.02,104.98,98.38,96.51
URBAN,H,74.65,73.22,68.87,67.56
URBAN,I,72.67,71.28,70.71,69.37
URBAN,J,91.16,89.42,86.70,85.05
URBAN,K,97.77,95.90,92.24,90.48
URBAN,L,70.02,68.69,66.41,65.15
URBAN,M,81.91,80.35,77.48,76.00
URBAN,N,95.13,93.31,89.78,88.07
URBAN,O,99.75,97.85,92.85,91.08
URBAN,P,69.36,68.04,65.18,63.94
