region,group,rate,qualityAdjustedRate
RURAL,A,19.43,19.05
RURAL,B,52.00,50.98
RURAL,C,76.28,74.79
RURAL,D,41.71,40.89
RURAL,E,66.85,65.54
RURAL,F,85.14,83.47
RURAL,G,58.28,57.14
RURAL,H,81.71,80.11
RURAL,I,100.85,98.88
RURAL,J,85.42,83.75
RURAL,K,105.71,103.64
RURAL,L,120.28,117.92
URBAN,A,15.42,15.12
URBAN,B,41.28,40.46
URBAN,C,60.56,59.35
URBAN,D,33.11,32.46
URBAN,E,53.07,52.02
URBAN,F,67.59,66.25
URBAN,G,46.27,45.35
URBAN,H,64.86,63.58
URBAN,I,80.06,78.47
URBAN,J,67.81,66.47
URBAN,K,83.92,82.25
URBAN,L,95.48,93.59
