region,group,rate,qualityAdjustedRate
RURAL,A,21.15,20.75
RURAL,B,56.85,55.76
RURAL,C,83.29,81.70
RURAL,D,45.61,44.74
RURAL,E,73.04,71.65
RURAL,F,93.20,91.42
RURAL,G,63.79,62.57
RURAL,H,89.24,87.53
RURAL,I,110.39,108.28
RURAL,J,93.53,91.75
RURAL,K,115.68,113.47
RURAL,L,131.54,129.03
URBAN,A,16.79,16.47
URBAN,B,45.12,44.26
URBAN,C,66.10,64.84
URBAN,D,36.20,35.51
URBAN,E,57.97,56.86
URBAN,F,73.97,72.56
URBAN,G,50.62,49.66
URBAN,H,70.82,69.47
URBAN,I,87.61,85.94
URBAN,J,74.23,72.82
URBAN,K,91.81,90.06
URBAN,L,104.40,102.41
