region,group,physicalTherapyRate,qualityAdjustedPhysicalTherapyRate,occupationalTherapyRate,qualityAdjustedoccupationalTherapyRateRate
RURAL,A,121.08,118.74,108.13,106.06
RURAL,B,134.44,131.84,118.10,115.84
RURAL,C,148.63,145.76,122.70,120.35
RURAL,D,151.14,148.22,111.20,109.07
RURAL,E,111.89,109.73,102.00,100.04
RURAL,F,126.92,124.47,115.80,113.58
RURAL,G,131.93,129.39,118.87,116.59
RURAL,H,91.85,90.08,83.59,81.99
RURAL,I,89.35,87.62,85.89,84.25
RURAL,J,111.89,109.73,105.07,103.05
RURAL,K,120.24,117.92,111.97,109.82
RURAL,L,86.01,84.35,80.52,78.98
RURAL,M,100.20,98.27,94.33,92.52
RURAL,N,116.90,114.65,108.90,106.81
RURAL,O,122.75,120.38,112.73,110.57
RURAL,P,85.17,83.53,78.99,77.48
URBAN,A,106.21,104.17,96.13,94.29
URBAN,B,117.93,115.66,105.00,102.98
URBAN,C,130.39,127.88,109.09,106.99
URBAN,D,132.58,130.03,98.86,96.96
URBAN,E,98.16,96.27,90.68,88.94
URBAN,F,111.34,109.20,102.95,100.97
URBAN,G,115.74,113.51,105.68,103.65
URBAN,H,80.58,79.02,74.32,72.89
URBAN,I,78.38,76.87,76.36,74.89
URBAN,J,98.16,96.27,93.41,91.61
URBAN,K,105.48,103.45,99.54,97.63
URBAN,L,75.45,74.00,71.59,70.21
URBAN,M,87.90,86.21,83.86,82.25
URBAN,N,102.55,100.58,96.82,94.96
URBAN,O,107.68,105.60,100.22,98.30
URBAN,P,74.72,73.28,70.23,68.88
