name,amount,adjustmentFactor
ANNALISE,241.39,0.65
ASTAR,97.50,0.65
AVEIRH,15600.00,0.65
AVEIRL,10725.00,0.65
CASGEVY,1650000.00,0.75
CERAMENTGBI,4918.55,0.65
CERIBELL,913.90,0.65
CYTALUXLUNG,2762.50,0.65
CYTALUXOVARIAN,2762.50,0.65
DEFENCATH,3656.10,0.75
DETOURSYSTEM,16250.00,0.65
ECHOGO,1023.75,0.65
ELREXFIOTALVEY,12899.59,0.65
EPKINLYCOLUMVI,6504.07,0.65
EVOQUE,31850.00,0.65
GORETAG,27807.00,0.65
HEPZATOKIT,118625.00,0.65
IFUSEBG,9828.00,0.65
LIMFLOW,16250.00,0.65
LUNSUMIO,17492.10,0.65
LYFGENIA,2325000.00,0.75
PARADISEULTRASOUND,14950.00,0.65
PHAGENYXSYSTEM,3250.00,0.65
PULSESELECT,6337.50,0.65
REBYOTAVOWST,6789.25,0.65
REZZAYO,4387.50,0.75
SAINTNEUROMOD,12675.00,0.65
SPEVIGO,33236.45,0.65
SYMPLICITYSPYRAL,10400.00,0.65
TAMBE,47238.75,0.65
TECVAYLI,12899.59,0.65
TERLIVAZ,16672.50,0.65
THORAFLEX,22750.00,0.65
TOPSSYSTEM,11375.00,0.65
TRICLIP,26000.00,0.65
VADER,28242.50,0.65
VIVISTIM,23400.00,0.65
XACDURO,13680.00,0.75
ZEVTERAH,8625.00,0.75
ZEVTERAL,2812.50,0.75
