name,amount,adjustmentFactor
AEROPACE,23650.90,0.65
AGENTPCB,4013.75,0.65
ALFAPUMP,21450.00,0.65
ANNALISE,241.39,0.65
APREVOCCERVICAL,21125.00,0.65
ASTAR,97.50,0.65
AURLUMYN,28600.00,0.65
AVEIRH,15600.00,0.65
AVEIRL,10725.00,0.65
BREYANZI,316860.05,0.65
CASGEVY,1650000.00,0.75
CERAMENTGOF,5687.50,0.65
CERIBELL,913.90,0.65
CONTEPO,8775.00,0.75
CYTALUXLUNG,2762.50,0.65
DEFENCATH,3656.10,0.75
DETOURSYSTEM,16250.00,0.65
EMBLAVEO,9000.68,0.75
EMILYSCARE,3347.50,0.65
EPKINLYCOLUMVI,6504.07,0.65
ESPRITBTK,6922.50,0.65
EUROPA,80548.00,0.65
EVOQUE,31850.00,0.65
FOURWEB,15275.00,0.65
GRAFAPEX,21411.00,0.65
HEPZATOKIT,118625.00,0.65
IFUSETORQTNT,4135.95,0.65
IMDELLTRA,7117.50,0.65
LIMFLOW,16250.00,0.65
LYFGENIA,2325000.00,0.75
MERITWRAPSODY,3770.00,0.65
MINIMASTENT,22685.00,0.65
MY01PRESSURE,2112.50,0.65
PARADISEULTRASOUND,14950.00,0.65
PBCSEPARATOR,87.78,0.65
PHAGENYXSYSTEM,3250.00,0.65
PULSESELECT,6337.50,0.65
RECELL,4875.00,0.65
RESTOR3DTIDAL,18196.75,0.65
REZZAYO,4387.50,0.75
SAINTNEUROMOD,12675.00,0.65
SHORTCUT,9750.00,0.65
SYMPLICITYSPYRAL,10400.00,0.65
TAMBE,47238.75,0.65
TECELRA,472550.00,0.65
TOPSSYSTEM,11375.00,0.65
TRICLIP,26000.00,0.65
TRIVERITY,243.75,0.65
VADER,28242.50,0.65
VITEKREVEAL,81.25,0.65
WISECRT,41145.00,0.65
XACDURO,13680.00,0.75
ZEVTERAH,16215.00,0.75
ZEVTERAL,5287.50,0.75
