diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,20181001,26.4106,29.1,,37.5,,,HEART TRANSPLANT OR IMPLAN
002,20181001,13.4227,15.1,,18.0,,,HEART TRANSPLANT OR IMPLAN
003,20181001,18.2974,23.4,,30.1,Y,,ECMO OR TRACH W MV >96 HRS
004,20181001,11.4192,19.5,,23.6,Y,,"TRACH W MV >96 HRS OR PDX "
005,20181001,10.2545,14.6,,20.0,,,"LIVER TRANSPLANT W MCC OR "
006,20181001,4.8655,7.9,,8.6,,,"LIVER TRANSPLANT W/O MCC  "
007,20181001,10.6510,16.7,,20.2,,,"LUNG TRANSPLANT           "
008,20181001,5.2490,8.9,,10.1,,,SIMULTANEOUS PANCREAS/KIDN
010,20181001,4.5139,7.8,,8.5,,,"PANCREAS TRANSPLANT       "
011,20181001,4.9124,10.9,,13.4,,,"TRACHEOSTOMY FOR FACE, MOU"
012,20181001,3.8137,8.7,,9.8,,,"TRACHEOSTOMY FOR FACE, MOU"
013,20181001,2.3265,5.9,,6.7,,,"TRACHEOSTOMY FOR FACE, MOU"
014,20181001,11.9503,24.1,,27.4,,,ALLOGENEIC BONE MARROW TRA
016,20181001,6.5394,17.1,,18.4,,,AUTOLOGOUS BONE MARROW TRA
017,20181001,4.3811,7.9,,10.7,,,AUTOLOGOUS BONE MARROW TRA
020,20181001,10.4253,13.6,,16.5,,,INTRACRANIAL VASCULAR PROC
021,20181001,7.9056,12.1,,13.7,,,INTRACRANIAL VASCULAR PROC
022,20181001,5.1575,6.3,,8.1,,,INTRACRANIAL VASCULAR PROC
023,20181001,5.4601,7.3,,10.2,Y,Y,"CRANIOTOMY W MAJOR DEVICE "
024,20181001,3.9194,4.3,,5.7,Y,Y,CRANIO W MAJOR DEV IMPL/AC
025,20181001,4.2775,6.7,,8.8,Y,,"CRANIOTOMY & ENDOVASCULAR "
026,20181001,3.0157,4.3,,5.7,Y,,"CRANIOTOMY & ENDOVASCULAR "
027,20181001,2.4057,2.1,,2.7,Y,,"CRANIOTOMY & ENDOVASCULAR "
028,20181001,5.3748,9.0,,11.8,Y,Y,"SPINAL PROCEDURES W MCC   "
029,20181001,3.1557,4.4,,5.8,Y,Y,"SPINAL PROCEDURES W CC OR "
030,20181001,2.1757,2.3,,3.0,Y,Y,SPINAL PROCEDURES W/O CC/M
031,20181001,4.1829,7.2,,10.1,Y,,VENTRICULAR SHUNT PROCEDUR
032,20181001,2.3021,3.3,,4.8,Y,,VENTRICULAR SHUNT PROCEDUR
033,20181001,1.6877,1.8,,2.3,Y,,VENTRICULAR SHUNT PROCEDUR
034,20181001,3.5998,4.7,,6.8,,,CAROTID ARTERY STENT PROCE
035,20181001,2.2203,2.1,,3.0,,,CAROTID ARTERY STENT PROCE
036,20181001,1.7260,1.2,,1.4,,,CAROTID ARTERY STENT PROCE
037,20181001,3.2098,5.1,,7.4,,,"EXTRACRANIAL PROCEDURES W "
038,20181001,1.6717,2.2,,3.1,,,"EXTRACRANIAL PROCEDURES W "
039,20181001,1.1324,1.3,,1.5,,,EXTRACRANIAL PROCEDURES W/
040,20181001,3.9282,7.6,,10.7,Y,Y,PERIPH/CRANIAL NERVE & OTH
041,20181001,2.3584,4.2,,5.3,Y,Y,PERIPH/CRANIAL NERVE & OTH
042,20181001,1.8715,2.5,,3.1,Y,Y,PERIPH/CRANIAL NERVE & OTH
052,20181001,1.7004,4.1,,5.8,,,SPINAL DISORDERS & INJURIE
053,20181001,0.9141,2.7,,3.3,,,SPINAL DISORDERS & INJURIE
054,20181001,1.3166,3.8,,5.1,Y,,NERVOUS SYSTEM NEOPLASMS W
055,20181001,1.0472,3.1,,4.4,Y,,NERVOUS SYSTEM NEOPLASMS W
056,20181001,2.1245,5.5,,8.1,Y,,DEGENERATIVE NERVOUS SYSTE
057,20181001,1.2089,3.9,,5.6,Y,,DEGENERATIVE NERVOUS SYSTE
058,20181001,1.7596,5.0,,6.9,,,MULTIPLE SCLEROSIS & CEREB
059,20181001,1.0993,3.7,,4.5,,,MULTIPLE SCLEROSIS & CEREB
060,20181001,0.8327,3.0,,3.5,,,MULTIPLE SCLEROSIS & CEREB
061,20181001,2.8477,5.0,,6.5,,,"ISCHEMIC STROKE, PRECEREBR"
062,20181001,1.9437,3.4,,4.0,,,"ISCHEMIC STROKE, PRECEREBR"
063,20181001,1.6280,2.4,,2.7,,,"ISCHEMIC STROKE, PRECEREBR"
064,20181001,1.8692,4.4,,6.1,Y,,INTRACRANIAL HEMORRHAGE OR
065,20181001,1.0315,3.1,,3.8,Y,,INTRACRANIAL HEMORRHAGE OR
066,20181001,0.7268,2.1,,2.5,Y,,INTRACRANIAL HEMORRHAGE OR
067,20181001,1.5014,3.6,,4.8,,,NONSPECIFIC CVA & PRECEREB
068,20181001,0.8987,2.3,,2.8,,,NONSPECIFIC CVA & PRECEREB
069,20181001,0.7655,2.1,,2.5,,,TRANSIENT ISCHEMIA W/O THR
070,20181001,1.6453,4.5,,6.2,Y,,NONSPECIFIC CEREBROVASCULA
071,20181001,0.9858,3.3,,4.3,Y,,NONSPECIFIC CEREBROVASCULA
072,20181001,0.7420,2.4,,2.9,Y,,NONSPECIFIC CEREBROVASCULA
073,20181001,1.4111,3.7,,5.1,,,CRANIAL & PERIPHERAL NERVE
074,20181001,0.9739,2.9,,3.7,,,CRANIAL & PERIPHERAL NERVE
075,20181001,1.4816,4.8,,6.0,,,"VIRAL MENINGITIS W CC/MCC "
076,20181001,0.8248,2.8,,3.3,,,VIRAL MENINGITIS W/O CC/MC
077,20181001,1.5520,4.1,,5.2,,,HYPERTENSIVE ENCEPHALOPATH
078,20181001,0.9701,3.1,,3.8,,,HYPERTENSIVE ENCEPHALOPATH
079,20181001,0.7465,2.1,,2.5,,,HYPERTENSIVE ENCEPHALOPATH
080,20181001,1.8788,4.5,,6.8,,,NONTRAUMATIC STUPOR & COMA
081,20181001,0.8546,2.7,,3.7,,,NONTRAUMATIC STUPOR & COMA
082,20181001,2.1586,3.8,,6.0,,,"TRAUMATIC STUPOR & COMA, C"
083,20181001,1.2950,3.2,,4.2,,,"TRAUMATIC STUPOR & COMA, C"
084,20181001,0.9233,2.2,,2.7,,,"TRAUMATIC STUPOR & COMA, C"
085,20181001,2.1800,4.7,,6.5,Y,,"TRAUMATIC STUPOR & COMA, C"
086,20181001,1.2431,3.2,,4.1,Y,,"TRAUMATIC STUPOR & COMA, C"
087,20181001,0.8453,2.1,,2.6,Y,,"TRAUMATIC STUPOR & COMA, C"
088,20181001,1.4796,3.6,,4.7,,,"CONCUSSION W MCC          "
089,20181001,1.0675,2.7,,3.5,,,"CONCUSSION W CC           "
090,20181001,0.7934,1.9,,2.3,,,"CONCUSSION W/O CC/MCC     "
091,20181001,1.6120,4.2,,5.7,Y,,OTHER DISORDERS OF NERVOUS
092,20181001,0.9433,3.0,,3.8,Y,,OTHER DISORDERS OF NERVOUS
093,20181001,0.7378,2.2,,2.7,Y,,OTHER DISORDERS OF NERVOUS
094,20181001,3.6779,8.0,,11.0,,,BACTERIAL & TUBERCULOUS IN
095,20181001,2.3809,5.7,,7.1,,,BACTERIAL & TUBERCULOUS IN
096,20181001,2.1110,4.4,,5.2,,,BACTERIAL & TUBERCULOUS IN
097,20181001,3.5389,8.4,,11.4,,,NON-BACTERIAL INFECT OF NE
