name,amount,adjustmentFactor
ABECMA,289532.75,0.65
APREVO,40950.00,0.65
ASCOPE,1296.75,0.65
CAPTIONGUIDANCE,1868.10,0.65
CERAMENTGBI,4918.55,0.65
COSELA,5612.10,0.65
DARZALEX,5159.41,0.65
FETROJA,8579.84,0.75
GORETAG,27807.00,0.65
HARMONY,26975.00,0.65
HEMOLUNG,6500.00,0.65
IFUSEBG,9828.00,0.65
LIVTENCITY,32500.00,0.65
PRCFC,2535.00,0.65
RECARBRIO,9576.51,0.75
RYBREVANT,6405.89,0.65
SHOCKWAVE,3666.00,0.65
STRATAGRAFT,44200.00,0.65
TECARTUS,259350.00,0.65
THORAFLEX,22750.00,0.65
VEKLURY,2028.00,0.65
VIVISTIM,23400.00,0.65
ZEPZELCA,9145.50,0.65
