diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,2023-10-01,27.0986,30.3,,40.1,,,HEART TRANSPLANT OR IMPLAN
002,2023-10-01,12.2441,9.6,,14.7,,,HEART TRANSPLANT OR IMPLAN
003,2023-10-01,21.3203,26.7,,36.5,Y,,ECMO OR TRACHEOSTOMY WITH
004,2023-10-01,14.7000,26.1,,32.0,Y,,TRACHEOSTOMY WITH MV >96 H
005,2023-10-01,10.3500,14.8,,20.0,,,LIVER TRANSPLANT WITH MCC
006,2023-10-01,4.8369,7.8,,8.8,,,LIVER TRANSPLANT WITHOUT M
007,2023-10-01,12.2664,18.5,,22.2,,,LUNG TRANSPLANT
008,2023-10-01,5.2617,8.7,,9.8,,,SIMULTANEOUS PANCREAS AND
010,2023-10-01,4.8136,9.5,,10.4,,,PANCREAS TRANSPLANT
011,2023-10-01,5.1563,11.5,,14.8,,,"TRACHEOSTOMY FOR FACE, MOU"
012,2023-10-01,4.0049,8.5,,9.8,,,"TRACHEOSTOMY FOR FACE, MOU"
013,2023-10-01,2.6857,6.3,,7.0,,,"TRACHEOSTOMY FOR FACE, MOU"
014,2023-10-01,11.4609,25.6,,28.7,,,ALLOGENEIC BONE MARROW TRA
016,2023-10-01,6.1770,16.6,,17.8,,,AUTOLOGOUS BONE MARROW TRA
017,2023-10-01,6.1770,16.6,,17.8,,,AUTOLOGOUS BONE MARROW TRA
018,2023-10-01,36.8427,12.9,,15.1,,,CHIMERIC ANTIGEN RECEPTOR
019,2023-10-01,7.9935,11.6,,14.0,,,SIMULTANEOUS PANCREAS AND
020,2023-10-01,8.4524,10.2,,14.1,,,INTRACRANIAL VASCULAR PROC
021,2023-10-01,6.1414,6.3,,9.0,,,INTRACRANIAL VASCULAR PROC
022,2023-10-01,3.9227,2.5,,3.9,,,INTRACRANIAL VASCULAR PROC
023,2023-10-01,5.6688,7.5,,10.5,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,2023-10-01,3.7888,4.0,,5.2,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,2023-10-01,4.4160,6.6,,9.1,Y,,CRANIOTOMY AND ENDOVASCULA
026,2023-10-01,2.9531,3.1,,4.7,Y,,CRANIOTOMY AND ENDOVASCULA
027,2023-10-01,2.4329,1.6,,2.1,Y,,CRANIOTOMY AND ENDOVASCULA
028,2023-10-01,6.0261,10.2,,13.2,Y,Y,SPINAL PROCEDURES WITH MCC
029,2023-10-01,3.4282,4.9,,6.5,Y,Y,SPINAL PROCEDURES WITH CC
030,2023-10-01,2.3190,2.7,,3.6,Y,Y,SPINAL PROCEDURES WITHOUT
031,2023-10-01,4.1166,7.0,,10.4,Y,,VENTRICULAR SHUNT PROCEDUR
032,2023-10-01,2.1538,2.7,,4.1,Y,,VENTRICULAR SHUNT PROCEDUR
033,2023-10-01,1.6229,1.6,,2.0,Y,,VENTRICULAR SHUNT PROCEDUR
034,2023-10-01,3.9014,4.9,,7.4,,,CAROTID ARTERY STENT PROCE
035,2023-10-01,2.2995,2.0,,2.9,,,CAROTID ARTERY STENT PROCE
036,2023-10-01,1.8082,1.2,,1.4,,,CAROTID ARTERY STENT PROCE
037,2023-10-01,3.3756,5.1,,8.1,,,EXTRACRANIAL PROCEDURES WI
038,2023-10-01,1.5999,1.9,,2.8,,,EXTRACRANIAL PROCEDURES WI
039,2023-10-01,1.1410,1.2,,1.4,,,EXTRACRANIAL PROCEDURES WI
040,2023-10-01,3.8505,7.4,,10.8,Y,Y,"PERIPHERAL, CRANIAL NERVE"
041,2023-10-01,2.2307,3.9,,5.0,Y,Y,"PERIPHERAL, CRANIAL NERVE"
042,2023-10-01,1.7398,2.4,,3.0,Y,Y,"PERIPHERAL, CRANIAL NERVE"
052,2023-10-01,1.9445,4.6,,6.6,,,SPINAL DISORDERS AND INJUR
053,2023-10-01,0.9838,2.8,,3.7,,,SPINAL DISORDERS AND INJUR
054,2023-10-01,1.4735,4.0,,5.8,Y,,NERVOUS SYSTEM NEOPLASMS W
055,2023-10-01,1.0732,3.0,,4.3,Y,,NERVOUS SYSTEM NEOPLASMS W
056,2023-10-01,2.3940,6.1,,9.7,Y,,DEGENERATIVE NERVOUS SYSTE
057,2023-10-01,1.3632,4.0,,6.4,Y,,DEGENERATIVE NERVOUS SYSTE
058,2023-10-01,1.7279,4.7,,7.1,,,MULTIPLE SCLEROSIS AND CER
059,2023-10-01,1.1872,3.7,,5.0,,,MULTIPLE SCLEROSIS AND CER
060,2023-10-01,0.8974,2.9,,3.6,,,MULTIPLE SCLEROSIS AND CER
061,2023-10-01,2.8028,5.0,,6.7,,,"ISCHEMIC STROKE, PRECEREBR"
062,2023-10-01,1.8717,3.2,,3.8,,,"ISCHEMIC STROKE, PRECEREBR"
063,2023-10-01,1.4868,2.2,,2.5,,,"ISCHEMIC STROKE, PRECEREBR"
064,2023-10-01,2.0030,4.6,,6.7,Y,,INTRACRANIAL HEMORRHAGE OR
065,2023-10-01,1.0164,2.9,,3.7,Y,,INTRACRANIAL HEMORRHAGE OR
066,2023-10-01,0.6875,1.9,,2.4,Y,,INTRACRANIAL HEMORRHAGE OR
067,2023-10-01,1.4169,3.3,,4.7,,,NONSPECIFIC CVA AND PRECER
068,2023-10-01,0.8710,2.1,,2.6,,,NONSPECIFIC CVA AND PRECER
