diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,2020-10-01,28.9651,30.2, ,39.2, , ,HEART TRANSPLANT OR IMPLAN
002,2020-10-01,15.9310,16.4, ,19.1, , ,HEART TRANSPLANT OR IMPLAN
003,2020-10-01,18.9911,22.4, ,30.2,Y, ,ECMO OR TRACHEOSTOMY WITH
004,2020-10-01,11.8620,19.9, ,24.5,Y, ,TRACHEOSTOMY WITH MV >96 H
005,2020-10-01,10.2233,14.4, ,19.4, , ,LIVER TRANSPLANT WITH MCC
006,2020-10-01,4.6917,7.5, ,8.1, , ,LIVER TRANSPLANT WITHOUT M
007,2020-10-01,11.5743,17.4, ,20.8, , ,LUNG TRANSPLANT
008,2020-10-01,5.4268,9.0, ,10.2, , ,SIMULTANEOUS PANCREAS AND
010,2020-10-01,3.6177,8.0, ,9.1, , ,PANCREAS TRANSPLANT
011,2020-10-01,5.0164,10.9, ,13.8, , ,"TRACHEOSTOMY FOR FACE, MOU"
012,2020-10-01,3.8319,8.3, ,9.4, , ,"TRACHEOSTOMY FOR FACE, MOU"
013,2020-10-01,2.7205,6.0, ,6.8, , ,"TRACHEOSTOMY FOR FACE, MOU"
014,2020-10-01,12.7788,24.1, ,27.2, , ,ALLOGENEIC BONE MARROW TRA
016,2020-10-01,6.7262,17.1, ,18.3, , ,AUTOLOGOUS BONE MARROW TRA
017,2020-10-01,4.8302,8.9, ,11.6, , ,AUTOLOGOUS BONE MARROW TRA
018,2020-10-01,37.3290,15.6, ,17.6, , ,CHIMERIC ANTIGEN RECEPTOR
019,2020-10-01,6.6619,11.0, ,12.9, , ,SIMULTANEOUS PANCREAS AND
020,2020-10-01,10.3201,12.7, ,16.1, , ,INTRACRANIAL VASCULAR PROC
021,2020-10-01,7.5316,10.0, ,12.3, , ,INTRACRANIAL VASCULAR PROC
022,2020-10-01,4.8596,4.0, ,5.8, , ,INTRACRANIAL VASCULAR PROC
023,2020-10-01,5.6623,7.1, ,9.8,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,2020-10-01,3.9325,4.1, ,5.2,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,2020-10-01,4.4917,6.6, ,8.8,Y, ,CRANIOTOMY AND ENDOVASCULA
026,2020-10-01,3.0580,3.8, ,5.3,Y, ,CRANIOTOMY AND ENDOVASCULA
027,2020-10-01,2.5118,1.9, ,2.5,Y, ,CRANIOTOMY AND ENDOVASCULA
028,2020-10-01,5.8200,9.3, ,12.2,Y,Y,SPINAL PROCEDURES WITH MCC
029,2020-10-01,3.2950,4.5, ,6.0,Y,Y,SPINAL PROCEDURES WITH CC
030,2020-10-01,2.3571,2.4, ,3.1,Y,Y,SPINAL PROCEDURES WITHOUT
031,2020-10-01,4.3661,7.2, ,10.3,Y, ,VENTRICULAR SHUNT PROCEDUR
032,2020-10-01,2.2122,3.0, ,4.3,Y, ,VENTRICULAR SHUNT PROCEDUR
033,2020-10-01,1.7207,1.7, ,2.2,Y, ,VENTRICULAR SHUNT PROCEDUR
034,2020-10-01,3.9746,4.7, ,7.0, , ,CAROTID ARTERY STENT PROCE
035,2020-10-01,2.3371,2.1, ,3.0, , ,CAROTID ARTERY STENT PROCE
036,2020-10-01,1.8512,1.2, ,1.4, , ,CAROTID ARTERY STENT PROCE
037,2020-10-01,3.2747,5.0, ,7.3, , ,EXTRACRANIAL PROCEDURES WI
038,2020-10-01,1.6573,2.1, ,3.0, , ,EXTRACRANIAL PROCEDURES WI
039,2020-10-01,1.1390,1.2, ,1.4, , ,EXTRACRANIAL PROCEDURES WI
040,2020-10-01,3.9578,7.1, ,10.4,Y,Y,"PERIPHERAL, CRANIAL NERVE"
041,2020-10-01,2.3511,3.9, ,4.9,Y,Y,"PERIPHERAL, CRANIAL NERVE"
042,2020-10-01,1.8849,2.4, ,3.0,Y,Y,"PERIPHERAL, CRANIAL NERVE"
052,2020-10-01,1.8451,4.2, ,6.0, , ,SPINAL DISORDERS AND INJUR
053,2020-10-01,1.1361,2.8, ,3.7, , ,SPINAL DISORDERS AND INJUR
054,2020-10-01,1.3658,3.8, ,5.2,Y, ,NERVOUS SYSTEM NEOPLASMS W
055,2020-10-01,1.0434,3.0, ,4.1,Y, ,NERVOUS SYSTEM NEOPLASMS W
056,2020-10-01,2.1873,5.5, ,8.3,Y, ,DEGENERATIVE NERVOUS SYSTE
057,2020-10-01,1.2642,3.9, ,5.8,Y, ,DEGENERATIVE NERVOUS SYSTE
058,2020-10-01,1.7367,4.9, ,7.1, , ,MULTIPLE SCLEROSIS AND CER
