diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,2022-10-01,28.1461,29.9,,39.3,,,HEART TRANSPLANT OR IMPLAN
002,2022-10-01,13.4731,12.3,,14.9,,,HEART TRANSPLANT OR IMPLAN
003,2022-10-01,20.2371,24.7,,33.2,Y,,ECMO OR TRACHEOSTOMY WITH
004,2022-10-01,13.7317,24.2,,29.2,Y,,TRACHEOSTOMY WITH MV >96 H
005,2022-10-01,11.407,15,,20.6,,,LIVER TRANSPLANT WITH MCC
006,2022-10-01,4.8093,7.6,,8.4,,,LIVER TRANSPLANT WITHOUT M
007,2022-10-01,12.2073,17.8,,21.2,,,LUNG TRANSPLANT
008,2022-10-01,5.5911,8.7,,10.1,,,SIMULTANEOUS PANCREAS AND
010,2022-10-01,4.1468,7.4,,7.8,,,PANCREAS TRANSPLANT
011,2022-10-01,5.1652,11.7,,14.5,,,"TRACHEOSTOMY FOR FACE, MOU"
012,2022-10-01,3.9095,8.4,,9.6,,,"TRACHEOSTOMY FOR FACE, MOU"
013,2022-10-01,2.8283,6.4,,7.2,,,"TRACHEOSTOMY FOR FACE, MOU"
014,2022-10-01,11.193,25.7,,28.6,,,ALLOGENEIC BONE MARROW TRA
016,2022-10-01,6.0844,16.6,,17.6,,,AUTOLOGOUS BONE MARROW TRA
017,2022-10-01,4.3701,7.3,,10.5,,,AUTOLOGOUS BONE MARROW TRA
018,2022-10-01,36.1452,14.7,,17.4,,,CHIMERIC ANTIGEN RECEPTOR
019,2022-10-01,7.1346,10.8,,11.9,,,SIMULTANEOUS PANCREAS AND
020,2022-10-01,9.3033,10.7,,14.2,,,INTRACRANIAL VASCULAR PROC
021,2022-10-01,6.7892,8.1,,10.8,,,INTRACRANIAL VASCULAR PROC
022,2022-10-01,4.3585,3.2,,4.9,,,INTRACRANIAL VASCULAR PROC
023,2022-10-01,5.7314,7.3,,10.2,Y,Y,CRANIOTOMY WITH MAJOR DEVI
024,2022-10-01,3.9488,4.1,,5.2,Y,Y,CRANIOTOMY WITH MAJOR DEVI
025,2022-10-01,4.5405,6.6,,9,Y,,CRANIOTOMY AND ENDOVASCULA
026,2022-10-01,3.0235,3.6,,5.1,Y,,CRANIOTOMY AND ENDOVASCULA
027,2022-10-01,2.4954,1.8,,2.4,Y,,CRANIOTOMY AND ENDOVASCULA
028,2022-10-01,5.8775,9.8,,12.3,Y,Y,SPINAL PROCEDURES WITH MCC
029,2022-10-01,3.4176,4.9,,6.3,Y,Y,SPINAL PROCEDURES WITH CC
030,2022-10-01,2.3412,2.7,,3.5,Y,Y,SPINAL PROCEDURES WITHOUT
