diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
001,2019-10-01,27.6339,28.5, ,37.4, , ,"HEART TRANSPLANT OR IMPLAN"
002,2019-10-01,14.0137,16.8, ,20.6, , ,"HEART TRANSPLANT OR IMPLAN"
003,2019-10-01,18.9539,22.9, ,30.4,Y, ,"ECMO OR TRACH W MV >96 HRS"
004,2019-10-01,11.5438,19.6, ,23.8,Y, ,"TRACH W MV >96 HRS OR PDX "
005,2019-10-01,10.3127,14.5, ,19.5, , ,"LIVER TRANSPLANT W MCC OR "
006,2019-10-01,4.8719,7.6, ,8.2, , ,"LIVER TRANSPLANT W/O MCC  "
007,2019-10-01,10.7863,17.2, ,20.2, , ,"LUNG TRANSPLANT           "
008,2019-10-01,5.6161,8.8, ,10.1, , ,"SIMULTANEOUS PANCREAS/KIDN"
010,2019-10-01,3.9761,7.5, ,8.4, , ,"PANCREAS TRANSPLANT       "
011,2019-10-01,4.9438,11.0, ,13.5, , ,"TRACHEOSTOMY FOR FACE, MOU"
012,2019-10-01,3.7740,8.5, ,9.7, , ,"TRACHEOSTOMY FOR FACE, MOU"
013,2019-10-01,2.4253,6.0, ,6.7, , ,"TRACHEOSTOMY FOR FACE, MOU"
014,2019-10-01,12.7548,25.0, ,28.5, , ,"ALLOGENEIC BONE MARROW TRA"
016,2019-10-01,6.8852,16.8, ,18.1, , ,"AUTOLOGOUS BONE MARROW TRA"
017,2019-10-01,4.4474,7.8, ,10.5, , ,"AUTOLOGOUS BONE MARROW TRA"
020,2019-10-01,10.8210,13.5, ,16.9, , ,"INTRACRANIAL VASCULAR PROC"
021,2019-10-01,8.2737,11.9, ,13.8, , ,"INTRACRANIAL VASCULAR PROC"
022,2019-10-01,4.9318,5.1, ,7.2, , ,"INTRACRANIAL VASCULAR PROC"
023,2019-10-01,5.6171,7.1, ,9.9,Y,Y,"CRANIOTOMY W MAJOR DEVICE "
024,2019-10-01,4.0165,4.2, ,5.3,Y,Y,"CRANIO W MAJOR DEV IMPL/AC"
